id,analyzed_experiment_pk,set_voltage,set_amperage,Delta_f_Hz,Delta_f_Hz_err,Delta_kappa_Hz,Delta_kappa_Hz_err,kappa_c_Hz,kappa_c_Hz_err,f_c_Hz,f_c_Hz_err,J_Hz,J_Hz_err,a0_value,a0_err,phi_rad,phi_rad_err,nu_minus_mean_data_Hz,nu_minus_err_low_data_Hz,nu_minus_err_high_data_Hz,nu_plus_mean_data_Hz,nu_plus_err_low_data_Hz,nu_plus_err_high_data_Hz
21,1,-2.8,-0.009,-2499.438780784607,1221.7908978802002,-156139.7250745548,1730.934062705002,691678.7413165163,3041.7713375658755,6006226977.363136,1074.1180112395182,1045000,0,2911917728152090,44026818919738.96,0,0,6005276206.134271,6005274724.429991,6005277673.652842,6007180123.068139,6007178644.1555605,6007181567.593658
22,1,-2.79,-0.009,10598.083553314209,1198.5431303454573,-184223.56219872582,1698.196688569788,689433.7268715546,2990.301126807197,6006232405.816196,1055.9538737383148,1045000,0,2863648093783643,40447439375201.64,0,0,6005282484.058502,6005281015.745846,6005283951.6931095,6007172175.951644,6007170714.602525,6007173642.646361
23,1,-2.78,-0.009,8456.882173538208,1285.801799151244,-201726.38519284164,1822.705140008927,694013.8055007132,2995.68116671046,6006252231.160556,1057.823963786977,1045000,0,3023444683070174.5,44844836893342.49,0,0,6005309445.258436,6005307926.131287,6005310959.366316,6007186968.388775,6007185489.91128,6007188486.689759
24,1,-2.77,-0.009,-8387.133286476135,1238.807314791984,-190061.5426400692,1755.3593424984663,693856.1784750483,3090.205198497123,6006232321.048302,1091.2075047103997,1045000,0,2811576588649591.5,39125044651922.266,0,0,6005294131.258928,6005292611.5353775,6005295625.562817,6007178479.349885,6007176986.591368,6007179989.381553
25,1,-2.76,-0.009,-7826.351155281067,1212.0876311156014,-205586.0954681465,1717.8459028251345,704435.5656545772,2999.178052091317,6006223297.114378,1059.006558992066,1045000,0,2850434706557433.5,37945621146746.445,0,0,6005291888.2754,6005290395.92073,6005293387.981127,6007162130.765722,6007160645.766719,6007163625.337463
26,1,-2.75,-0.009,-23327.538230895996,1420.153492374873,-241705.32088724332,2014.972202552748,700675.5647320134,3031.578208491117,6006229019.970014,1070.4673428753508,1045000,0,2814660334636673,34924405434158.582,0,0,6005314962.637278,6005313363.254959,6005316565.745576,6007164867.897865,6007163257.818205,6007166469.956318
27,1,-2.74,-0.009,-4542.883466720581,1358.078516457103,-269567.15004865295,1927.0156394838166,694770.0467992701,3010.3743454535283,6006240009.136028,1063.0109645090529,1045000,0,2894955237136393.5,37035276411800.72,0,0,6005324836.039611,6005323225.289983,6005326449.148398,6007159367.013986,6007157792.411317,6007160977.291806
28,1,-2.73,-0.009,-836.8356037139893,1160.7951331161532,-263105.0284417411,1644.8490310107575,690223.8974001115,3036.837467196497,6006239716.153102,1072.3810746091533,1045000,0,2700929473051446,30995848355497.89,0,0,6005319503.611079,6005317999.231761,6005321003.207503,6007160699.418128,6007159207.426138,6007162191.147846
29,1,-2.72,-0.009,-15828.76086807251,1352.1913146734362,-282668.15049353975,1918.8886229904874,698232.4561243579,3034.3105089597916,6006254892.358894,1071.4400234342731,1045000,0,2718384849963959,32079596155717.355,0,0,6005350259.62162,6005348644.400452,6005351872.124802,6007174008.473415,6007172400.460629,6007175600.351313
30,1,-2.71,-0.009,6240.426959991455,1312.0330072694676,-293914.14223590784,1861.381045344007,686619.5243676102,3053.071705973953,6006237926.223335,1078.1342790703193,1045000,0,2794693247629720.5,33962944503771.29,0,0,6005323982.464907,6005322384.141819,6005325601.3018,6007146157.286553,6007144541.032749,6007147757.944835
